task,model,r2_train,r2_test,rmse_test,accuracy,weighted_f1,macro_f1,tfidf_max_features,tfidf_ngram_range,tfidf_svd_n_components,imb_sampler,xgb_colsample_bytree,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9997560977935791,0.6979044675827026,0.8417226665739235,0.4470954356846473,0.4435647560208149,0.42007495629954655,20000,"(1, 1)",200,none,1.0,0.1,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999412894248962,0.6979681253433228,0.8416339335985148,0.4479253112033195,0.4443400112071214,0.42071254803256475,20000,"(1, 1)",200,none,1.0,0.1,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9210485219955444,0.6944036483764648,0.8465857712203985,0.45311203319502075,0.4561294586793815,0.43182570449210705,20000,"(1, 1)",200,none,1.0,0.15,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9368705153465271,0.6930724382400513,0.8484275929696284,0.4516597510373444,0.4548809986137861,0.4306510006190104,20000,"(1, 1)",200,none,1.0,0.15,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9597814083099365,0.6910461187362671,0.8512237294942581,0.45269709543568465,0.45670169903038155,0.4325598144412114,20000,"(1, 1)",200,none,1.0,0.15,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9940546154975891,0.6913102269172668,0.8508597807987889,0.45477178423236514,0.4567689600023598,0.43081408115968955,20000,"(1, 1)",200,none,1.0,0.15,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9969708323478699,0.6908472180366516,0.8514976476770099,0.4562240663900415,0.45813261406801126,0.4317980600604951,20000,"(1, 1)",200,none,1.0,0.15,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9992111325263977,0.6905462145805359,0.8519120854948595,0.45643153526970953,0.45833300107863,0.432084091697922,20000,"(1, 1)",200,none,1.0,0.15,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999298453330994,0.6897575855255127,0.8529969479102643,0.4470954356846473,0.4479714286822072,0.4212500365496271,20000,"(1, 1)",200,none,1.0,0.15,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999597668647766,0.689792275428772,0.8529492557028863,0.4473029045643154,0.4482365890946285,0.42167475258401116,20000,"(1, 1)",200,none,1.0,0.15,8,600,1.0
